	0
1041	79.0
1042	83.0
1043	102.0
1044	66.0
1045	77.0
1046	83.0
1047	61.0
1048	91.0
1049	87.0
1050	70.0
1051	85.0
1052	87.0
1053	76.0
1054	82.0
1055	76.0
1056	64.0
1057	280.0
1058	115.0
1059	68.0
1060	90.0
1061	94.0
1062	53.0
1063	78.0
1064	1087.0
1065	79.0
1066	79.0
1067	94.0
1068	72.0
1069	70.0
1070	71.0
1071	136.0
1072	86.0
1073	77.0
1074	80.0
1075	78.0
1076	67.0
1077	70.0
1078	203.0
1079	98.0
1080	90.0
1081	75.0
1082	89.0
1083	67.0
1084	83.0
1085	69.0
1086	71.0
1087	81.0
1088	63.0
1089	68.0
1090	59.0
1091	70.0
1092	209.0
1093	90.0
1094	128.0
1095	101.0
1096	81.0
1097	93.0
1098	80.0
1099	72.0
1100	90.0
1101	155.0
1102	74.0
1103	63.0
1104	84.0
1105	80.0
1106	76.0
1107	66.0
1108	73.0
1109	108.0
1110	84.0
1111	81.0
1112	78.0
1113	81.0
1114	90.0
1115	80.0
1116	66.0
1117	90.0
1118	83.0
1119	69.0
1120	87.0
1121	308.0
1122	77.0
1123	80.0
1124	64.0
1125	68.0
1126	60.0
1127	82.0
1128	88.0
1129	104.0
1130	206.0
1131	119.0
1132	76.0
1133	84.0
